2026-04-14 18:32:13,216 | WARNING | loader | Falha ao inserir extra 'inscricoes_inicio' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:13,431 | WARNING | loader | Falha ao inserir extra 'inscricoes_fim' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:13,632 | WARNING | loader | Falha ao inserir extra 'situacao' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:13,846 | WARNING | loader | Falha ao inserir extra 'qtd_anexos' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:14,068 | WARNING | loader | Falha ao inserir extra 'tipo_recurso' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:14,971 | WARNING | loader | Falha ao inserir anexo do edital 690: {'message': "Could not find the table 'public.edital_anexo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:15,181 | WARNING | loader | Falha ao inserir anexo do edital 690: {'message': "Could not find the table 'public.edital_anexo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:15,382 | WARNING | loader | Falha ao inserir anexo do edital 690: {'message': "Could not find the table 'public.edital_anexo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:15,588 | WARNING | loader | Falha ao inserir anexo do edital 690: {'message': "Could not find the table 'public.edital_anexo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:15,792 | WARNING | loader | Falha ao inserir anexo do edital 690: {'message': "Could not find the table 'public.edital_anexo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
